Prefix,Carrier,Country
9199,Jio,India
9198,Airtel,India
9197,Vodafone Idea,India
9196,BSNL,India
9195,Jio,India
9194,Airtel,India
9193,Vodafone Idea,India
9192,Airtel,India
9191,BSNL,India
9190,Jio,India
9189,Jio,India
9188,Vodafone Idea,India
9187,Airtel,India
9186,Vodafone Idea,India
9185,Airtel,India
9184,BSNL,India
9183,Jio,India
9182,Airtel,India
9181,BSNL,India
9180,Jio,India
9179,Jio,India
9178,Airtel,India
9177,Vodafone Idea,India
9176,Airtel,India
9175,BSNL,India
9174,Vodafone Idea,India
9173,Jio,India
9172,Airtel,India
9171,BSNL,India
9170,Vodafone Idea,India
9169,Jio,India
9168,Airtel,India
9167,Vodafone Idea,India
9166,Jio,India
9165,Airtel,India
9164,BSNL,India
9163,Jio,India
9162,Airtel,India
9161,Vodafone Idea,India
9160,Jio,India
1201,AT&T,USA
1202,Verizon,USA
1203,T-Mobile,USA
1212,Verizon,USA
1213,AT&T,USA
1214,T-Mobile,USA
1215,Verizon,USA
1216,AT&T,USA
1217,T-Mobile,USA
1224,Verizon,USA
1225,AT&T,USA
1234,T-Mobile,USA
1240,Verizon,USA
1301,AT&T,USA
1302,T-Mobile,USA
1303,Verizon,USA
1310,AT&T,USA
1312,T-Mobile,USA
1313,Verizon,USA
1314,AT&T,USA
1315,T-Mobile,USA
1347,Verizon,USA
1404,AT&T,USA
1408,T-Mobile,USA
1412,Verizon,USA
1415,AT&T,USA
1469,T-Mobile,USA
1470,Verizon,USA
1480,AT&T,USA
1484,T-Mobile,USA
1502,Verizon,USA
1503,AT&T,USA
1510,T-Mobile,USA
1512,Verizon,USA
1515,AT&T,USA
1516,T-Mobile,USA
1562,Verizon,USA
1571,AT&T,USA
1602,T-Mobile,USA
1610,Verizon,USA
1614,AT&T,USA
1617,T-Mobile,USA
1619,Verizon,USA
1626,AT&T,USA
1630,T-Mobile,USA
1646,Verizon,USA
1650,AT&T,USA
1657,T-Mobile,USA
1661,Verizon,USA
1669,AT&T,USA
1678,T-Mobile,USA
1702,Verizon,USA
1703,AT&T,USA
1713,T-Mobile,USA
1714,Verizon,USA
1718,AT&T,USA
1720,T-Mobile,USA
1737,Verizon,USA
1760,AT&T,USA
1770,T-Mobile,USA
1773,Verizon,USA
1781,AT&T,USA
1786,T-Mobile,USA
1802,Verizon,USA
1804,AT&T,USA
1805,T-Mobile,USA
1818,Verizon,USA
1832,AT&T,USA
1858,T-Mobile,USA
1862,Verizon,USA
1901,AT&T,USA
1909,T-Mobile,USA
1917,Verizon,USA
1925,AT&T,USA
1929,T-Mobile,USA
1949,Verizon,USA
1951,AT&T,USA
1954,T-Mobile,USA
1972,Verizon,USA
44,BT,UK
4477,Vodafone,UK
4478,O2,UK
4479,Three,UK
4474,EE,UK
4475,BT,UK
