Series,Operator,Circle,Type
6993,Jio,Telangana,Mobile
6612,Jio,All India,Mobile
6462,Jio,Delhi,Mobile
6486,Jio,Tamil Nadu,Mobile
6929,Jio,Telangana,Mobile
6903,Jio,Andhra Pradesh,Mobile
6221,Jio,Haryana,Mobile
6209,Jio,Assam,Mobile
6211,Jio,Karnataka,Mobile
6638,Jio,Chhattisgarh,Mobile
6300,Jio,Kerala,Mobile
6794,Jio,Telangana,Mobile
6107,Jio,Karnataka,Mobile
6482,Jio,Kerala,Mobile
6208,Jio,Assam,Mobile
6873,Jio,Assam,Mobile
6003,Jio,Maharashtra,Mobile
6144,Jio,Uttarakhand,Mobile
6063,Jio,Tamil Nadu,Mobile
6033,Jio,Jammu & Kashmir,Mobile
6115,Jio,Gujarat,Mobile
6887,Jio,Punjab,Mobile
6587,Jio,Madhya Pradesh,Mobile
6330,Jio,Andhra Pradesh,Mobile
6502,Jio,UP East,Mobile
6820,Jio,Rajasthan,Mobile
6954,Jio,Jharkhand,Mobile
6672,Jio,Maharashtra,Mobile
6931,Jio,Chhattisgarh,Mobile
6994,Jio,Telangana,Mobile
6861,Jio,All India,Mobile
6738,Jio,Odisha,Mobile
6384,Jio,Chhattisgarh,Mobile
6510,Jio,Assam,Mobile
6742,Jio,Jharkhand,Mobile
6478,Jio,West Bengal,Mobile
6589,Jio,Madhya Pradesh,Mobile
6594,Jio,Rajasthan,Mobile
6076,Jio,Maharashtra,Mobile
6604,Jio,Maharashtra,Mobile
6627,Jio,Jammu & Kashmir,Mobile
6839,Jio,Andhra Pradesh,Mobile
6198,Jio,Uttarakhand,Mobile
6114,Jio,Delhi,Mobile
6450,Jio,Karnataka,Mobile
6568,Jio,Assam,Mobile
6853,Jio,Chhattisgarh,Mobile
6818,Jio,Rajasthan,Mobile
6214,Jio,Haryana,Mobile
6194,Jio,Uttarakhand,Mobile
6189,Jio,Maharashtra,Mobile
6329,Jio,Jammu & Kashmir,Mobile
6717,Jio,Assam,Mobile
6867,Jio,Andhra Pradesh,Mobile
6264,Jio,Chhattisgarh,Mobile
6643,Jio,Gujarat,Mobile
6145,Jio,Uttarakhand,Mobile
6623,Jio,Delhi,Mobile
6642,Jio,Telangana,Mobile
6884,Jio,Tamil Nadu,Mobile
6674,Jio,Jharkhand,Mobile
6032,Jio,All India,Mobile
6162,Jio,Gujarat,Mobile
6187,Jio,Delhi,Mobile
6477,Jio,Maharashtra,Mobile
6957,Jio,Maharashtra,Mobile
6078,Jio,Jammu & Kashmir,Mobile
6177,Jio,Rajasthan,Mobile
6456,Jio,Rajasthan,Mobile
6942,Jio,Punjab,Mobile
6944,Jio,Telangana,Mobile
6532,Jio,Delhi,Mobile
6633,Jio,Punjab,Mobile
6665,Jio,Assam,Mobile
6252,Jio,Jammu & Kashmir,Mobile
6125,Jio,Odisha,Mobile
6706,Jio,Karnataka,Mobile
6225,Jio,All India,Mobile
6220,Jio,All India,Mobile
6511,Jio,Andhra Pradesh,Mobile
6599,Jio,Punjab,Mobile
6652,Jio,Odisha,Mobile
6334,Jio,Punjab,Mobile
6479,Jio,Gujarat,Mobile
6663,Jio,Haryana,Mobile
6718,Jio,UP East,Mobile
6453,Jio,Chhattisgarh,Mobile
6926,Jio,Chhattisgarh,Mobile
6042,Jio,Delhi,Mobile
6658,Jio,Tamil Nadu,Mobile
6428,Jio,Maharashtra,Mobile
6393,Jio,Jammu & Kashmir,Mobile
6907,Jio,Madhya Pradesh,Mobile
6269,Jio,Chhattisgarh,Mobile
6253,Jio,Kerala,Mobile
6985,Jio,Delhi,Mobile
6306,Jio,UP East,Mobile
6148,Jio,Karnataka,Mobile
6328,Jio,Karnataka,Mobile
6295,Jio,Gujarat,Mobile
6918,Jio,Tamil Nadu,Mobile
6350,Jio,Andhra Pradesh,Mobile
6920,Jio,Madhya Pradesh,Mobile
6893,Jio,Maharashtra,Mobile
6460,Jio,Jharkhand,Mobile
6533,Jio,Punjab,Mobile
6222,Jio,West Bengal,Mobile
6811,Jio,Delhi,Mobile
6508,Jio,Chhattisgarh,Mobile
6563,Jio,Gujarat,Mobile
6108,Jio,Kerala,Mobile
6382,Jio,Odisha,Mobile
6500,Jio,Jharkhand,Mobile
6458,Jio,Tamil Nadu,Mobile
6947,Jio,Tamil Nadu,Mobile
6002,Jio,Karnataka,Mobile
6179,Jio,Assam,Mobile
6374,Jio,Haryana,Mobile
6531,Jio,Punjab,Mobile
6185,Jio,Maharashtra,Mobile
6499,Jio,Assam,Mobile
6539,Jio,Chhattisgarh,Mobile
6857,Jio,Jharkhand,Mobile
6423,Jio,Chhattisgarh,Mobile
6281,Jio,Jharkhand,Mobile
6534,Jio,Kerala,Mobile
6314,Jio,Odisha,Mobile
6245,Jio,West Bengal,Mobile
6238,Jio,Madhya Pradesh,Mobile
6247,Jio,Gujarat,Mobile
6877,Jio,Assam,Mobile
6801,Jio,UP East,Mobile
6332,Jio,Jammu & Kashmir,Mobile
6681,Jio,Chhattisgarh,Mobile
6015,Jio,Jharkhand,Mobile
6341,Jio,Andhra Pradesh,Mobile
6810,Jio,Andhra Pradesh,Mobile
6472,Jio,Punjab,Mobile
6978,Jio,Assam,Mobile
6625,Jio,Uttarakhand,Mobile
6432,Jio,Delhi,Mobile
6093,Jio,All India,Mobile
6475,Jio,Andhra Pradesh,Mobile
7090,BSNL,Bihar,Mobile
7057,BSNL,Assam,Mobile
7086,BSNL,UP East,Mobile
7001,BSNL,North East,Mobile
7042,BSNL,UP East,Mobile
7051,BSNL,Bihar,Mobile
7049,BSNL,Bihar,Mobile
7014,BSNL,West Bengal,Mobile
7036,BSNL,Assam,Mobile
7010,BSNL,Punjab,Mobile
7027,BSNL,Madhya Pradesh,Mobile
7072,BSNL,Bihar,Mobile
7025,BSNL,North East,Mobile
7070,BSNL,Assam,Mobile
7035,BSNL,Madhya Pradesh,Mobile
7044,BSNL,Jammu & Kashmir,Mobile
7097,BSNL,Punjab,Mobile
7095,BSNL,West Bengal,Mobile
7038,BSNL,Punjab,Mobile
7013,BSNL,Odisha,Mobile
7041,BSNL,Odisha,Mobile
7060,BSNL,Punjab,Mobile
7096,BSNL,Punjab,Mobile
7091,BSNL,Jammu & Kashmir,Mobile
7055,BSNL,North East,Mobile
7080,BSNL,Odisha,Mobile
7022,BSNL,UP East,Mobile
7007,BSNL,West Bengal,Mobile
7087,BSNL,Odisha,Mobile
7015,BSNL,Jammu & Kashmir,Mobile
7092,BSNL,Odisha,Mobile
7083,BSNL,Bihar,Mobile
7059,BSNL,Odisha,Mobile
7026,BSNL,Punjab,Mobile
7000,BSNL,North East,Mobile
7020,BSNL,North East,Mobile
7074,BSNL,North East,Mobile
7078,BSNL,Odisha,Mobile
7052,BSNL,Jammu & Kashmir,Mobile
7030,BSNL,Jammu & Kashmir,Mobile
7045,BSNL,Bihar,Mobile
7029,BSNL,Punjab,Mobile
7066,BSNL,Madhya Pradesh,Mobile
7071,BSNL,Jammu & Kashmir,Mobile
7009,BSNL,Punjab,Mobile
7016,BSNL,Odisha,Mobile
7088,BSNL,Odisha,Mobile
7099,BSNL,Jammu & Kashmir,Mobile
7064,BSNL,West Bengal,Mobile
7043,BSNL,Jammu & Kashmir,Mobile
7098,BSNL,West Bengal,Mobile
7037,BSNL,Jammu & Kashmir,Mobile
7068,BSNL,Punjab,Mobile
7048,BSNL,Madhya Pradesh,Mobile
7094,BSNL,Jammu & Kashmir,Mobile
7073,BSNL,North East,Mobile
7046,BSNL,Odisha,Mobile
7005,BSNL,Madhya Pradesh,Mobile
7058,BSNL,Jammu & Kashmir,Mobile
7053,BSNL,UP East,Mobile
7039,BSNL,Punjab,Mobile
7003,BSNL,Punjab,Mobile
7033,BSNL,Assam,Mobile
7050,BSNL,Jammu & Kashmir,Mobile
7069,BSNL,UP East,Mobile
7063,BSNL,Jammu & Kashmir,Mobile
7031,BSNL,North East,Mobile
7077,BSNL,Madhya Pradesh,Mobile
7061,BSNL,Assam,Mobile
7047,BSNL,Bihar,Mobile
7085,BSNL,Assam,Mobile
7067,BSNL,Bihar,Mobile
7002,BSNL,Punjab,Mobile
7040,BSNL,West Bengal,Mobile
7018,BSNL,Assam,Mobile
7082,BSNL,Jammu & Kashmir,Mobile
7011,BSNL,Assam,Mobile
7006,BSNL,UP East,Mobile
7089,BSNL,Assam,Mobile
7008,BSNL,Punjab,Mobile
7034,BSNL,Assam,Mobile
7017,Airtel,Haryana,Mobile
7076,Airtel,Uttarakhand,Mobile
7075,Airtel,UP East,Mobile
7054,Airtel,Delhi,Mobile
7093,Airtel,Chhattisgarh,Mobile
7084,Airtel,Uttarakhand,Mobile
7024,Airtel,Uttarakhand,Mobile
7062,Airtel,UP East,Mobile
7056,Airtel,Gujarat,Mobile
7081,Airtel,Delhi,Mobile
7012,Airtel,Haryana,Mobile
7032,Airtel,Gujarat,Mobile
7028,Airtel,UP East,Mobile
7079,Vodafone Idea,Chhattisgarh,Mobile
7021,Vodafone Idea,Kerala,Mobile
7004,Vodafone Idea,Karnataka,Mobile
8844,Airtel,UP West,Mobile
8481,Airtel,Delhi,Mobile
8942,Airtel,Tamil Nadu,Mobile
8542,Airtel,Gujarat,Mobile
8130,Airtel,Odisha,Mobile
8548,Airtel,Bihar,Mobile
8241,Airtel,AP,Mobile
8008,Airtel,Kerala,Mobile
8909,Airtel,Haryana,Mobile
8666,Airtel,Odisha,Mobile
8379,Airtel,UP West,Mobile
8066,Airtel,Delhi,Mobile
8586,Airtel,Jharkhand,Mobile
8201,Airtel,West Bengal,Mobile
8518,Airtel,UP East,Mobile
8191,Airtel,Tamil Nadu,Mobile
8939,Airtel,Tamil Nadu,Mobile
8594,Airtel,Karnataka,Mobile
8213,Airtel,Maharashtra,Mobile
8276,Airtel,Jharkhand,Mobile
8983,Airtel,Chhattisgarh,Mobile
8556,Airtel,AP,Mobile
8005,Airtel,UP West,Mobile
8969,Airtel,Haryana,Mobile
8343,Airtel,West Bengal,Mobile
8134,Airtel,Kerala,Mobile
8814,Airtel,Bihar,Mobile
8253,Airtel,Delhi,Mobile
8116,Airtel,Chhattisgarh,Mobile
8463,Airtel,Delhi,Mobile
8083,Airtel,Kerala,Mobile
8767,Airtel,Rajasthan,Mobile
8020,Airtel,Odisha,Mobile
8403,Airtel,Bihar,Mobile
8278,Airtel,AP,Mobile
8689,Airtel,Gujarat,Mobile
8973,Airtel,Rajasthan,Mobile
8120,Airtel,Jharkhand,Mobile
8298,Airtel,AP,Mobile
8338,Airtel,Uttarakhand,Mobile
8345,Airtel,Karnataka,Mobile
8492,Airtel,Bihar,Mobile
8647,Airtel,Gujarat,Mobile
8060,Airtel,Maharashtra,Mobile
8757,Airtel,Odisha,Mobile
8248,Airtel,Punjab,Mobile
8741,Airtel,Bihar,Mobile
8199,Airtel,Haryana,Mobile
8779,Airtel,Gujarat,Mobile
8721,Airtel,Karnataka,Mobile
8245,Airtel,Gujarat,Mobile
8410,Airtel,Bihar,Mobile
8079,Airtel,Delhi,Mobile
8641,Airtel,UP West,Mobile
8390,Airtel,Karnataka,Mobile
8055,Airtel,Bihar,Mobile
8929,Airtel,Uttarakhand,Mobile
8483,Airtel,Rajasthan,Mobile
8156,Airtel,Punjab,Mobile
8445,Airtel,AP,Mobile
8024,Airtel,Chhattisgarh,Mobile
8948,Airtel,West Bengal,Mobile
8918,Airtel,Rajasthan,Mobile
8444,Airtel,Odisha,Mobile
8777,Airtel,HP,Mobile
8528,Airtel,Haryana,Mobile
8264,Airtel,Jharkhand,Mobile
8118,Airtel,Karnataka,Mobile
8455,Airtel,Tamil Nadu,Mobile
8126,Airtel,Tamil Nadu,Mobile
8655,Airtel,MP,Mobile
8720,Airtel,UP West,Mobile
8799,Airtel,Haryana,Mobile
8698,Airtel,UP East,Mobile
8190,Airtel,Kerala,Mobile
8376,Airtel,UP East,Mobile
8949,Airtel,Chhattisgarh,Mobile
8462,Airtel,Haryana,Mobile
8307,Airtel,Haryana,Mobile
8760,Airtel,MP,Mobile
8498,Airtel,Jharkhand,Mobile
8676,Airtel,Delhi,Mobile
8737,Airtel,Maharashtra,Mobile
8587,Airtel,HP,Mobile
8687,Airtel,Chhattisgarh,Mobile
8171,Airtel,Gujarat,Mobile
8874,Airtel,MP,Mobile
8347,Airtel,AP,Mobile
8895,Airtel,UP East,Mobile
