PhoneNumber,Name,Type,Reason,ReportCount,SpamScore
+919877563179,Bank Phishing,scam,Bank Phishing,35,42.5
+918700299535,Job Scam,scam,Job Scam,222,91.6
+918800421953,Lottery Scam,scam,Lottery Scam,160,78.0
+919876786533,Electricity Bill Scam,scam,Electricity Bill Scam,178,80.4
+917100218648,Paytm Cashback Scam,scam,Paytm Cashback Scam,449,100
+917100691669,Fake Delivery,scam,Fake Delivery,238,91.4
+919300392781,UPI Scam,scam,UPI Scam,127,64.1
+917300890233,Education Spam,spam,Education Spam,247,96.1
+919999204503,Police Impersonation,scam,Police Impersonation,267,95.1
+918300795422,Electricity Bill Scam,scam,Electricity Bill Scam,487,100
+918300795075,Matrimony Spam,spam,Matrimony Spam,456,100
+919876841179,Job Scam,scam,Job Scam,443,100
+916300585336,Prize Scam,scam,Prize Scam,283,100
+919999870560,Job Scam,scam,Job Scam,64,48.2
+918300344188,Paytm Cashback Scam,scam,Paytm Cashback Scam,225,98.5
+919500539281,Education Spam,spam,Education Spam,75,55.5
+917500118411,Telemarketing,spam,Telemarketing,40,39.0
+917700434139,KYC Fraud,scam,KYC Fraud,79,60.7
+916100147994,Bank Phishing,scam,Bank Phishing,224,100
+919877904274,Police Impersonation,scam,Police Impersonation,71,47.3
+916000532668,Aadhaar Scam,scam,Aadhaar Scam,62,58.6
+916200445130,Telemarketing,spam,Telemarketing,45,53.5
+918888618737,Telemarketing,spam,Telemarketing,285,100
+919300831578,Bank Phishing,scam,Bank Phishing,344,100
+917000938130,Fake Tech Support,scam,Fake Tech Support,311,100
+917100127138,Insurance Scam,scam,Insurance Scam,254,91.2
+919300840928,Investment Scam,scam,Investment Scam,213,85.9
+918800414996,Loan Offer,spam,Loan Offer,243,100
+918700392398,Prize Scam,scam,Prize Scam,106,45.8
+916200648668,Political Robocall,spam,Political Robocall,351,100
+919877387135,Aadhaar Scam,scam,Aadhaar Scam,102,64.6
+916200795142,Loan Offer,spam,Loan Offer,462,100
+917000586274,Real Estate Spam,spam,Real Estate Spam,38,32.4
+918800555612,Police Impersonation,scam,Police Impersonation,281,100
+916000577154,Police Impersonation,scam,Police Impersonation,314,100
+916300755462,Credit Card Scam,scam,Credit Card Scam,225,100
+919500932576,Police Impersonation,scam,Police Impersonation,261,91.3
+919876637314,Courier Fraud,scam,Courier Fraud,141,59.3
+919300886669,Insurance Scam,scam,Insurance Scam,456,100
+917300846639,Courier Fraud,scam,Courier Fraud,381,100
+916100166600,Aadhaar Scam,scam,Aadhaar Scam,364,100
+917300281347,Real Estate Spam,spam,Real Estate Spam,279,100
+919300729193,Lottery Scam,scam,Lottery Scam,102,67.6
+917300318700,Loan Offer,spam,Loan Offer,211,83.3
+916100404927,Paytm Cashback Scam,scam,Paytm Cashback Scam,374,100
+918800233441,OTP Fraud,scam,OTP Fraud,386,100
+917300238669,Courier Fraud,scam,Courier Fraud,441,100
+917300572891,Survey Scam,scam,Survey Scam,76,53.8
+916100419320,Job Scam,scam,Job Scam,423,100
+919877602299,Fake Delivery,scam,Fake Delivery,413,100
+916200339465,OTP Fraud,scam,OTP Fraud,211,77.3
+916000712426,Paytm Cashback Scam,scam,Paytm Cashback Scam,414,100
+917100428332,Insurance Scam,scam,Insurance Scam,424,100
+916100438978,Courier Fraud,scam,Courier Fraud,293,100
+919500812737,Insurance Scam,scam,Insurance Scam,85,39.5
+917700321863,Credit Card Scam,scam,Credit Card Scam,111,58.3
+919876396191,Electricity Bill Scam,scam,Electricity Bill Scam,52,53.6
+917700591520,UPI Scam,scam,UPI Scam,445,100
+919876747577,KYC Fraud,scam,KYC Fraud,282,100
+917500470049,Auto Insurance Spam,spam,Auto Insurance Spam,469,100
+919500958292,Investment Scam,scam,Investment Scam,331,100
+916300918910,Lottery Scam,scam,Lottery Scam,123,55.9
+918800587722,WhatsApp Scam,scam,WhatsApp Scam,72,45.6
+918888749733,WhatsApp Scam,scam,WhatsApp Scam,434,100
+916100153979,Police Impersonation,scam,Police Impersonation,168,76.4
+919100380537,Matrimony Spam,spam,Matrimony Spam,164,81.2
+916100567221,Political Robocall,spam,Political Robocall,330,100
+916300343464,Matrimony Spam,spam,Matrimony Spam,458,100
+916200501914,Auto Insurance Spam,spam,Auto Insurance Spam,360,100
+919999355971,Real Estate Spam,spam,Real Estate Spam,453,100
+916300644639,Health Insurance Spam,spam,Health Insurance Spam,438,100
+916100502896,Real Estate Spam,spam,Real Estate Spam,443,100
+918300126325,Fake Tech Support,scam,Fake Tech Support,144,63.2
+916200722833,Police Impersonation,scam,Police Impersonation,51,31.3
+919100575811,KYC Fraud,scam,KYC Fraud,390,100
+919100136427,Aadhaar Scam,scam,Aadhaar Scam,206,76.8
+919100982203,Courier Fraud,scam,Courier Fraud,75,33.5
+919876485104,SIM Swap Scam,scam,SIM Swap Scam,476,100
+918500583125,Aadhaar Scam,scam,Aadhaar Scam,140,59.0
+916200987815,Telemarketing,spam,Telemarketing,32,28.6
+916100417315,Survey Scam,scam,Survey Scam,495,100
+919876117755,Telemarketing,spam,Telemarketing,236,92.8
+917300225818,Auto Insurance Spam,spam,Auto Insurance Spam,489,100
