CountryCode,Country,MobilePrefix,Format,ExampleNumber
91,India,+91,+91XXXXXXXXXX,+919876543210
1,USA,+1,+1XXXXXXXXXX,+12025551234
1,Canada,+1,+1XXXXXXXXXX,+14165551234
44,UK,+44,+44XXXXXXXXXX,+442071234567
61,Australia,+61,+61XXXXXXXXX,+61412345678
81,Japan,+81,+81XXXXXXXXX,+819012345678
49,Germany,+49,+49XXXXXXXXXX,+4915112345678
33,France,+33,+33XXXXXXXXX,+33612345678
86,China,+86,+86XXXXXXXXXXX,+8613912345678
55,Brazil,+55,+55XXXXXXXXXXX,+5511987654321
7,Russia,+7,+7XXXXXXXXXX,+79123456789
27,South Africa,+27,+27XXXXXXXXX,+27821234567
971,UAE,+971,+971XXXXXXXXX,+971501234567
966,Saudi Arabia,+966,+966XXXXXXXXX,+966512345678
92,Pakistan,+92,+92XXXXXXXXXX,+923001234567
880,Bangladesh,+880,+880XXXXXXXXXX,+8801712345678
94,Sri Lanka,+94,+94XXXXXXXXX,+94771234567
977,Nepal,+977,+977XXXXXXXXXX,+9779812345678
65,Singapore,+65,+65XXXXXXXX,+6591234567
60,Malaysia,+60,+60XXXXXXXXX,+60121234567
66,Thailand,+66,+66XXXXXXXXX,+66812345678
62,Indonesia,+62,+62XXXXXXXXXXX,+62812345678
63,Philippines,+63,+63XXXXXXXXXX,+639171234567
82,South Korea,+82,+82XXXXXXXXXX,+821012345678
39,Italy,+39,+39XXXXXXXXXX,+393121234567
34,Spain,+34,+34XXXXXXXXX,+34612345678
31,Netherlands,+31,+31XXXXXXXXX,+31612345678
46,Sweden,+46,+46XXXXXXXXX,+46701234567
47,Norway,+47,+47XXXXXXXX,+4791234567
353,Ireland,+353,+353XXXXXXXXX,+353851234567
52,Mexico,+52,+52XXXXXXXXXX,+5215512345678
54,Argentina,+54,+54XXXXXXXXXX,+5491112345678
56,Chile,+56,+56XXXXXXXXX,+56912345678
57,Colombia,+57,+57XXXXXXXXXX,+573001234567
234,Nigeria,+234,+234XXXXXXXXXX,+2348012345678
254,Kenya,+254,+254XXXXXXXXX,+254712345678
20,Egypt,+20,+20XXXXXXXXXX,+201012345678
90,Turkey,+90,+90XXXXXXXXXX,+905321234567
48,Poland,+48,+48XXXXXXXXX,+48501234567
380,Ukraine,+380,+380XXXXXXXXX,+380991234567
